Designator,Mid X,Mid Y,Rotation,Layer
C1,104.729677,-78.867,90.0,bottom
C29,93.98,-73.152,90.0,top
C30,93.98,-69.596,90.0,top
C31,93.98,-62.103,90.0,top
C32,93.98,-65.659,90.0,top
C35,93.98,-57.531,90.0,top
C36,93.98,-53.975,90.0,top
C37,93.98,-46.355,90.0,top
C38,93.98,-49.911,90.0,top
C4,107.315,-78.867,90.0,top
C5,117.221,-78.486,270.0,top
C6,115.697,-79.248,270.0,top
D10,95.5175,-76.2,0.0,top
D11,97.917,-67.691,0.0,top
D12,97.663,-59.944,0.0,top
D13,98.171,-52.197,0.0,top
J1,127.5588,-83.2485,270.0,top
J2,73.03,-38.994,90.0,top
J4,71.98925,-65.786,270.0,bottom
J5,71.98925,-50.546,270.0,bottom
R18,86.868,-75.184,180.0,top
R19,84.328,-75.057,90.0,top
R20,85.852,-72.644,90.0,top
R21,81.915,-75.184,180.0,top
R22,85.852,-64.643,90.0,top
R23,82.042,-67.437,180.0,top
R24,87.503,-66.929,90.0,top
R25,84.328,-67.056,270.0,top
R26,87.757,-58.801,90.0,top
R27,84.963,-59.69,90.0,top
R28,86.106,-56.388,90.0,top
R29,82.55,-59.436,180.0,top
R30,86.233,-48.768,90.0,top
R31,82.531,-51.32575,180.0,top
R32,87.884,-51.181,90.0,top
R33,84.836,-51.816,90.0,top
U13,88.938,-71.385,0.0,top
U14,81.534,-72.009,90.0,top
U15,81.608,-64.102,90.0,top
U16,88.9,-63.5,0.0,top
U19,89.218,-55.4235,0.0,top
U2,111.276,-77.979,0.0,top
U20,81.55,-55.969,90.0,top
U21,81.658,-48.35975,90.0,top
U22,89.199,-47.77875,0.0,top
